Name,IATA,ICAO,Callsign,Country,Active,total_routes,unique_src_airports,unique_dst_airports,codeshare_ratio,direct_ratio,network_breadth,country_active_rate,has_routes,Active_binary,pred_active,pred_probability
Private flight,-,,,,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0,1,1,0.6035
135 Airways,,GNL,GENERAL,United States,N,0.0,0.0,0.0,0.0,0.0,0.0,0.14194722474977253,0,0,0,0.1171
1Time Airline,1T,RNX,NEXTIME,South Africa,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.10989010989010989,0,1,1,0.7924
2 Sqn No 1 Elementary Flying Training School,,WYT,,United Kingdom,N,0.0,0.0,0.0,0.0,0.0,0.0,0.10843373493975904,0,0,0,0.1591
213 Flight Unit,,TFU,,Russia,N,0.0,0.0,0.0,0.0,0.0,0.0,0.33613445378151263,0,0,1,0.5846
223 Flight Unit State Airline,,CHD,CHKALOVSK-AVIA,Russia,N,0.0,0.0,0.0,0.0,0.0,0.0,0.33613445378151263,0,0,0,0.2139
224th Flight Unit,,TTF,CARGO UNIT,Russia,N,0.0,0.0,0.0,0.0,0.0,0.0,0.33613445378151263,0,0,0,0.2139
247 Jet Ltd,,TWF,CLOUD RUNNER,United Kingdom,N,0.0,0.0,0.0,0.0,0.0,0.0,0.10843373493975904,0,0,0,0.1255
3D Aviation,,SEC,SECUREX,United States,N,0.0,0.0,0.0,0.0,0.0,0.0,0.14194722474977253,0,0,0,0.1171
40-Mile Air,Q5,MLA,MILE-AIR,United States,Y,4.0,4.0,4.0,0.0,1.0,8.0,0.14194722474977253,1,1,1,0.6336
4D Air,,QRT,QUARTET,Thailand,N,0.0,0.0,0.0,0.0,0.0,0.0,0.36538461538461536,0,0,0,0.1499
611897 Alberta Limited,,THD,DONUT,Canada,N,0.0,0.0,0.0,0.0,0.0,0.0,0.11455108359133127,0,0,0,0.06
Ansett Australia,AN,AAA,ANSETT,Australia,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.2872340425531915,0,1,1,0.789
Abacus International,1B,,,Singapore,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.7272727272727273,0,1,1,0.8173
Abelag Aviation,W9,AAB,ABG,Belgium,N,29.0,11.0,11.0,0.0,1.0,22.0,0.2222222222222222,1,0,1,0.8844
Army Air Corps,,AAC,ARMYAIR,United Kingdom,N,0.0,0.0,0.0,0.0,0.0,0.0,0.10843373493975904,0,0,0,0.1255
Aero Aviation Centre Ltd.,,AAD,SUNRISE,Canada,N,0.0,0.0,0.0,0.0,0.0,0.0,0.11455108359133127,0,0,0,0.06
Aero Servicios Ejecutivos Internacionales,,SII,ASEISA,Mexico,N,0.0,0.0,0.0,0.0,0.0,0.0,0.029545454545454545,0,0,0,0.0167
Aero Biniza,,BZS,BINIZA,Mexico,N,0.0,0.0,0.0,0.0,0.0,0.0,0.029545454545454545,0,0,0,0.0167
Aero Albatros,,ABM,ALBATROS ESPANA,Spain,N,0.0,0.0,0.0,0.0,0.0,0.0,0.15476190476190477,0,0,0,0.0641
Aigle Azur,ZI,AAF,AIGLE AZUR,France,Y,72.0,22.0,22.0,0.0,1.0,44.0,0.2032520325203252,1,1,1,0.8473
Aloha Airlines,AQ,AAH,ALOHA,United States,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.14194722474977253,0,1,1,0.8052
Alaska Island Air,,AAK,ALASKA ISLAND,United States,N,0.0,0.0,0.0,0.0,0.0,0.0,0.14194722474977253,0,0,0,0.1171
American Airlines,AA,AAL,AMERICAN,United States,Y,2354.0,429.0,432.0,0.46261682242990654,1.0,861.0,0.14194722474977253,1,1,1,0.9687
Aviation Management Corporation,,AAM,AM CORP,United States,N,0.0,0.0,0.0,0.0,0.0,0.0,0.14194722474977253,0,0,0,0.1171
Atlantis Airlines (USA),,AAO,ATLANTIS AIR,United States,N,0.0,0.0,0.0,0.0,0.0,0.0,0.14194722474977253,0,0,0,0.1171
Aerovista Airlines,,AAP,AEROVISTA GROUP,United Arab Emirates,N,0.0,0.0,0.0,0.0,0.0,0.0,0.25806451612903225,0,0,0,0.3006
Asiana Airlines,OZ,AAR,ASIANA,Republic Of Korea,Y,262.0,106.0,106.0,0.12595419847328243,1.0,212.0,0.625,1,1,1,0.9737
Askari Aviation,4K,AAS,AL-AAS,Pakistan,Y,2.0,2.0,2.0,0.0,1.0,4.0,0.2413793103448276,1,1,1,0.8873
Australia Asia Airlines,,AAU,AUSTASIA,Australia,N,0.0,0.0,0.0,0.0,0.0,0.0,0.2872340425531915,0,0,0,0.2339
Astro Air International,,AAV,ASTRO-PHIL,United States,N,0.0,0.0,0.0,0.0,0.0,0.0,0.14194722474977253,0,0,0,0.1171
Afriqiyah Airways,8U,AAW,AFRIQIYAH,Libya,Y,44.0,14.0,14.0,0.0,1.0,28.0,0.11538461538461539,1,1,1,0.8584
Afrinat International Airlines,Q9,AFU,,Gambia,N,24.0,10.0,10.0,0.0,1.0,20.0,0.0,1,0,0,0.3558
Afric'air Express,,AAX,AFREX,Ivory Coast,N,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0,0,0,0.041
Allegiant Air,G4,AAY,ALLEGIANT,United States,Y,378.0,94.0,95.0,0.0,1.0,189.0,0.14194722474977253,1,1,1,0.8188
Angus Aviation,,AAZ,ANGUS,Canada,N,0.0,0.0,0.0,0.0,0.0,0.0,0.11455108359133127,0,0,0,0.06
Artem-Avia,,ABA,ARTEM-AVIA,Ukraine,N,0.0,0.0,0.0,0.0,0.0,0.0,0.15555555555555556,0,0,0,0.1681
African Business and Transportations,,ABB,AFRICAN BUSINESS-,Democratic Republic Of The Congo,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0154
Aban Air,K5,ABE,ABAN,Iran,N,39.0,21.0,21.0,0.0,1.0,42.0,0.2647058823529412,1,0,1,0.7575
Aerial Oy,,ABF,SKYWINGS,Finland,N,0.0,0.0,0.0,0.0,0.0,0.0,0.631578947368421,0,0,1,0.6211
Abakan-Avia,,ABG,ABAKAN-AVIA,Russia,N,0.0,0.0,0.0,0.0,0.0,0.0,0.33613445378151263,0,0,0,0.2139
ABSA - Aerolinhas Brasileiras,M3,TUS,ABSA Cargo,Brazil,Y,6.0,4.0,4.0,0.0,1.0,8.0,0.4166666666666667,1,1,1,0.8786
Abaet,,ABJ,Abaet,Brazil,N,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0,0,0,0.2062
Alberta Citylink,,ABK,ALBERTA CITYLINK,Canada,N,0.0,0.0,0.0,0.0,0.0,0.0,0.11455108359133127,0,0,0,0.06
APSA Colombia,,ABO,AEROEXPRESO,Colombia,N,0.0,0.0,0.0,0.0,0.0,0.0,0.22727272727272727,0,0,0,0.1293
