Country,total_airlines,active_airlines,active_rate,avg_routes,total_routes,inactive_airlines
,15,2,0.133,2.533,38.0,13
Acom,1,0,0.0,0.0,0.0,1
Active Aero,1,0,0.0,0.0,0.0,1
Aerocenter,1,0,0.0,0.0,0.0,1
Aerocesar,1,0,0.0,0.0,0.0,1
Aeroperlas,1,0,0.0,0.0,0.0,1
Aeropuma,1,0,0.0,0.0,0.0,1
Aerosol,1,0,0.0,0.0,0.0,1
Aerosun,1,0,0.0,0.0,0.0,1
Aerovaradero,1,0,0.0,0.0,0.0,1
Aerowee,1,0,0.0,0.0,0.0,1
Afghanistan,8,4,0.5,5.125,41.0,4
Air Class,1,0,0.0,0.0,0.0,1
Air Freighter,1,0,0.0,0.0,0.0,1
Air Print,1,0,0.0,0.0,0.0,1
Air S,1,0,0.0,52.0,52.0,1
Air-Maur,1,0,0.0,0.0,0.0,1
Airex,1,0,0.0,0.0,0.0,1
Airflight,1,0,0.0,0.0,0.0,1
Airman,1,0,0.0,0.0,0.0,1
Airnat,1,0,0.0,0.0,0.0,1
Airpac,1,0,0.0,0.0,0.0,1
Airport Helicopter,1,0,0.0,0.0,0.0,1
Airwave,1,0,0.0,0.0,0.0,1
Alamo,1,0,0.0,0.0,0.0,1
Alaska,1,1,1.0,530.0,530.0,0
Alaska Pacific,1,0,0.0,0.0,0.0,1
Albania,4,2,0.5,1.0,4.0,2
Alcon,1,0,0.0,0.0,0.0,1
Aldawlyh Air,1,0,0.0,0.0,0.0,1
Algeria,6,2,0.333,63.167,379.0,4
All Star,1,0,0.0,0.0,0.0,1
Alnacional,1,0,0.0,0.0,0.0,1
American Samoa,1,1,1.0,41.0,41.0,0
Angola,37,2,0.054,1.919,71.0,35
Antares,1,0,0.0,0.0,0.0,1
Antigua And Barbuda,4,1,0.25,18.5,74.0,3
Appalachian,1,0,0.0,0.0,0.0,1
Aquiline,1,0,0.0,0.0,0.0,1
Argentina,29,15,0.517,10.069,292.0,14
Arizair,1,0,0.0,0.0,0.0,1
Armenia,17,2,0.118,1.176,20.0,15
Armstrong,1,0,0.0,0.0,0.0,1
Aruba,6,2,0.333,1.0,6.0,4
Asa Pesada,1,0,0.0,0.0,0.0,1
Astoria,1,0,0.0,0.0,0.0,1
Asur,1,0,0.0,0.0,0.0,1
Atco,1,0,0.0,0.0,0.0,1
Atlantic Nicaragua,1,0,0.0,0.0,0.0,1
Atlantis Canada,1,0,0.0,0.0,0.0,1
Audi Air,1,0,0.0,0.0,0.0,1
Aurora Air,1,0,0.0,0.0,0.0,1
Ausa,1,0,0.0,0.0,0.0,1
Australia,94,27,0.287,15.33,1441.0,67
Austria,50,12,0.24,8.5,425.0,38
Avemex,1,0,0.0,0.0,0.0,1
Avianca,1,1,1.0,286.0,286.0,0
Avinor,1,0,0.0,0.0,0.0,1
Avioquintana,1,0,0.0,0.0,0.0,1
Azerbaijan,7,4,0.571,7.714,54.0,3
Azimut,1,0,0.0,0.0,0.0,1
Bahamas,9,3,0.333,8.0,72.0,6
Bahrain,9,1,0.111,8.556,77.0,8
Bangladesh,14,4,0.286,9.357,131.0,10
Barbados,10,2,0.2,0.0,0.0,8
Belarus,9,2,0.222,9.111,82.0,7
Belgium,27,6,0.222,9.667,261.0,21
Belize,3,2,0.667,11.667,35.0,1
Benin,6,1,0.167,0.667,4.0,5
Bermuda,1,0,0.0,0.0,0.0,1
Bhutan,1,1,1.0,20.0,20.0,0
Bolivia,9,3,0.333,4.333,39.0,6
Boonville Stage Line,1,0,0.0,0.0,0.0,1
Bosnia And Herzegovina,4,2,0.5,5.0,20.0,2
Botswana,1,1,1.0,24.0,24.0,0
Brazil,60,25,0.417,22.85,1371.0,35
British Virgin Islands,1,1,1.0,6.0,6.0,0
Brunei,1,1,1.0,30.0,30.0,0
Bulgaria,28,3,0.107,2.0,56.0,25
Burkina Faso,7,1,0.143,3.143,22.0,6
Burma,7,7,1.0,4.857,34.0,0
Burundi,3,1,0.333,110.667,332.0,2
Cambodia,19,7,0.368,29.263,556.0,12
Cameroon,7,3,0.429,4.143,29.0,4
Canada,323,37,0.115,6.211,2006.0,286
Canadian Territories,1,1,1.0,10.0,10.0,0
Cape Verde,3,1,0.333,0.0,0.0,2
Cayman Islands,2,1,0.5,11.5,23.0,1
Central African Republic,5,0,0.0,0.0,0.0,5
Chad,8,0,0.0,0.0,0.0,8
Chile,44,8,0.182,7.682,338.0,36
China,72,27,0.375,101.278,7292.0,45
Colombia,44,10,0.227,2.159,95.0,34
Comoros,3,1,0.333,7.333,22.0,2
Company As,1,0,0.0,0.0,0.0,1
Congo (Brazzaville),1,0,0.0,0.0,0.0,1
Congo (Kinshasa),4,4,1.0,1.0,4.0,0
Cook Islands,2,1,0.5,6.5,13.0,1
Costa Rica,9,3,0.333,7.667,69.0,6
Cote D'Ivoire,1,0,0.0,0.0,0.0,1
Croatia,10,2,0.2,11.2,112.0,8
Cuba,5,2,0.4,11.8,59.0,3
Cyprus,9,4,0.444,3.444,31.0,5
Czech Republic,32,5,0.156,5.562,178.0,27
Democratic People'S Republic Of Korea,1,1,1.0,8.0,8.0,0
Democratic Republic Of Congo,9,0,0.0,0.0,0.0,9
Democratic Republic Of The Congo,19,0,0.0,1.789,34.0,19
Denmark,32,7,0.219,4.812,154.0,25
Djibouti,8,2,0.25,0.75,6.0,6
Dominican Republic,30,5,0.167,0.0,0.0,25
Dragon,1,1,1.0,96.0,96.0,0
Ecuador,26,7,0.269,5.923,154.0,19
Egypt,49,13,0.265,6.061,297.0,36
El Salvador,5,0,0.0,0.0,0.0,5
Equatorial Guinea,11,1,0.091,0.0,0.0,10
Eritrea,2,2,1.0,8.0,16.0,0
Estonia,9,4,0.444,2.889,26.0,5
Ethiopia,5,1,0.2,67.4,337.0,4
Faroe Islands,2,1,0.5,4.5,9.0,1
Fiji,5,2,0.4,66.8,334.0,3
Finland,19,12,0.632,17.263,328.0,7
France,123,25,0.203,17.715,2179.0,98
French Guiana,1,1,1.0,0.0,0.0,0
French Polynesia,1,1,1.0,97.0,97.0,0
Gabon,11,1,0.091,7.182,79.0,10
Gambia,6,0,0.0,4.0,24.0,6
Georgia,18,6,0.333,5.111,92.0,12
Germany,135,38,0.281,29.4,3969.0,97
Ghana,20,3,0.15,1.0,20.0,17
Greece,29,10,0.345,25.793,748.0,19
Guadeloupe,1,1,1.0,24.0,24.0,0
Guatemala,6,1,0.167,0.0,0.0,5
Guinea,14,3,0.214,2.143,30.0,11
Guinea-Bissau,8,0,0.0,0.0,0.0,8
Guyana,4,0,0.0,0.0,0.0,4
Haiti,17,3,0.176,0.0,0.0,14
Honduras,6,1,0.167,1.667,10.0,5
Hong Kong,3,2,0.667,0.0,0.0,1
Hong Kong Sar Of China,5,3,0.6,56.4,282.0,2
Hungary,18,3,0.167,26.833,483.0,15
Iceland,20,9,0.45,6.5,130.0,11
India,29,20,0.69,52.345,1518.0,9
Indonesia,50,19,0.38,24.82,1241.0,31
Iran,34,9,0.265,13.382,455.0,25
Iraq,2,2,1.0,0.0,0.0,0
Ireland,28,7,0.25,98.571,2760.0,21
Israel,22,6,0.273,6.682,147.0,16
Italy,93,20,0.215,14.602,1358.0,73
Ivory Coast,17,2,0.118,0.353,6.0,15
Jamaica,4,3,0.75,0.5,2.0,1
Japan,49,22,0.449,35.939,1761.0,27
Jordan,7,2,0.286,18.714,131.0,5
Kazakhstan,79,6,0.076,2.823,223.0,73
